#separator:tab
#html:false
#notetype:Basic
#deck:GRK30 Greek Vocab::Quiz 2::Idyll 1.64–107, 115–118
#columns:Front	Back	Tags
#tags column:3
κατεύχομαι	boast, vaunt, vow loudly	Quiz2 Idyll1 Theocritus verb
λυγίζω	bend, twist, wrench (as one bends a withy)	Quiz2 Idyll1 Theocritus verb
προσαμείβομαι (Doric ποταμείβομαι)	answer, reply to	Quiz2 Idyll1 Theocritus verb
φράζομαι (Doric φράσδομαι)	think, suppose, imagine	Quiz2 Idyll1 Theocritus verb
δύω (perf. δέδυκα)	sink, go down, set (of the sun)	Quiz2 Idyll1 Theocritus verb
ἕρπω	creep, go, make one's way	Quiz2 Idyll1 Theocritus verb
βομβέω	hum, buzz, boom	Quiz2 Idyll1 Theocritus verb
χαίρω	rejoice; (as greeting) hail, farewell	Quiz2 Idyll1 Theocritus verb
χέω	pour, pour forth	Quiz2 Idyll1 Theocritus verb
ἔοικα (perf. with pres. sense)	be like, resemble, look like (+ dat.)	Quiz2 Idyll1 Theocritus verb
ἀοιδή, -ῆς, ἡ (Doric ἀοιδά)	song, singing, lay	Quiz2 Idyll1 Theocritus noun
Μοῦσα, -ης, ἡ (Doric Μοῖσα)	Muse; song, poetic art	Quiz2 Idyll1 Theocritus noun
φωνή, -ῆς, ἡ (Doric φωνά)	voice	Quiz2 Idyll1 Theocritus noun
νύμφη, -ης, ἡ	nymph	Quiz2 Idyll1 Theocritus noun
τέμπος, -εος, τό	glen, vale, dell	Quiz2 Idyll1 Theocritus noun
ποταμός, -οῦ, ὁ	river	Quiz2 Idyll1 Theocritus noun
ῥόος, -ου, ὁ (= ῥοῦς)	stream, current, flow	Quiz2 Idyll1 Theocritus noun
σκοπιά, -ᾶς, ἡ	peak, height, look-out point	Quiz2 Idyll1 Theocritus noun
ὕδωρ, ὕδατος, τό	water	Quiz2 Idyll1 Theocritus noun
θώς, θωός, ὁ	jackal	Quiz2 Idyll1 Theocritus noun
λύκος, -ου, ὁ	wolf	Quiz2 Idyll1 Theocritus noun
δρυμός, -οῦ, ὁ	thicket, wood, coppice	Quiz2 Idyll1 Theocritus noun
λέων, -οντος, ὁ	lion	Quiz2 Idyll1 Theocritus noun
βοῦς, βοός, ὁ/ἡ	cow, ox	Quiz2 Idyll1 Theocritus noun
ταῦρος, -ου, ὁ	bull	Quiz2 Idyll1 Theocritus noun
δαμάλη, -ης, ἡ	heifer, young cow	Quiz2 Idyll1 Theocritus noun
πόρτις, -ιος, ἡ	calf, young heifer	Quiz2 Idyll1 Theocritus noun
πούς, ποδός, ὁ	foot	Quiz2 Idyll1 Theocritus noun
ὄρος, -εος, τό (Doric ὤρος)	mountain	Quiz2 Idyll1 Theocritus noun
βούτας, -α, ὁ (Doric = βούτης)	cowherd, oxherd	Quiz2 Idyll1 Theocritus noun
ποιμήν, -ένος, ὁ	shepherd	Quiz2 Idyll1 Theocritus noun
αἰπόλος, -ου, ὁ	goatherd	Quiz2 Idyll1 Theocritus noun
κόρη, -ης, ἡ (Doric κώρα)	girl, maiden	Quiz2 Idyll1 Theocritus noun
κρήνη, -ης, ἡ (Doric κράνα)	spring, fountain	Quiz2 Idyll1 Theocritus noun
ἄλσος, -εος, τό	grove, sacred grove	Quiz2 Idyll1 Theocritus noun
μηκάς, -άδος, ἡ	bleating one, she-goat	Quiz2 Idyll1 Theocritus noun
τράγος, -ου, ὁ	he-goat, billy-goat	Quiz2 Idyll1 Theocritus noun
ὀφθαλμός, -οῦ, ὁ	eye	Quiz2 Idyll1 Theocritus noun
παρθένος, -ου, ἡ	maiden, unmarried girl	Quiz2 Idyll1 Theocritus noun
βουκόλος, -ου, ὁ	cowherd, herdsman	Quiz2 Idyll1 Theocritus noun
ἀνήρ, ἀνδρός, ὁ	man	Quiz2 Idyll1 Theocritus noun
ἔρως, -ωτος, ὁ	love, desire, passion	Quiz2 Idyll1 Theocritus noun
τέλος, -εος, τό	end, fulfilment, completion	Quiz2 Idyll1 Theocritus noun
μοῖρα, -ας, ἡ	fate, destiny, allotted portion	Quiz2 Idyll1 Theocritus noun
θυμός, -οῦ, ὁ	heart, spirit; anger, wrath	Quiz2 Idyll1 Theocritus noun
ἥλιος, -ου, ὁ (Doric ἅλιος)	sun	Quiz2 Idyll1 Theocritus noun
ἄλγος, -εος, τό	pain, grief, sorrow	Quiz2 Idyll1 Theocritus noun
δρῦς, δρυός, ἡ	oak (tree)	Quiz2 Idyll1 Theocritus noun
μέλισσα, -ης, ἡ	bee	Quiz2 Idyll1 Theocritus noun
σμῆνος, -εος, τό (Doric σμᾶνος)	beehive, swarm of bees	Quiz2 Idyll1 Theocritus noun
ἄρκτος, -ου, ἡ	bear	Quiz2 Idyll1 Theocritus noun
ὕλη, -ης, ἡ (Doric ὕλα)	wood, woodland, forest	Quiz2 Idyll1 Theocritus noun
βουκολικός, -ή, -όν (Doric -ᾶς)	bucolic, pastoral, of herdsmen	Quiz2 Idyll1 Theocritus adjective
φίλος, -η, -ον	dear, beloved	Quiz2 Idyll1 Theocritus adjective
ἡδύς, -εῖα, -ύ (Doric ἁδύς)	sweet, pleasant; (adv. neut.) sweetly	Quiz2 Idyll1 Theocritus adjective
καλός, -ή, -όν	beautiful, lovely, fair	Quiz2 Idyll1 Theocritus adjective
καλός, -ή, -όν (adv. καλόν)	beautifully, sweetly	Quiz2 Idyll1 Theocritus adjective
μέγας, μεγάλη, μέγα	great, large	Quiz2 Idyll1 Theocritus adjective
ἱερός, -ά, -όν	holy, sacred	Quiz2 Idyll1 Theocritus adjective
πρῶτος, -η, -ον (Doric πρᾶτος, superl. πρώτιστος)	first; (superl.) first of all, very first	Quiz2 Idyll1 Theocritus adjective
τάλας, τάλαινα, τάλαν	wretched, poor, suffering	Quiz2 Idyll1 Theocritus adjective
πᾶς, πᾶσα, πᾶν	all, every, whole	Quiz2 Idyll1 Theocritus adjective
δύσερως, -ωτος	unlucky in love, wretched in love	Quiz2 Idyll1 Theocritus adjective
ἀμήχανος, -ον	helpless; impossible to deal with, hopeless	Quiz2 Idyll1 Theocritus adjective
πικρός, -ά, -όν	bitter, sharp, harsh	Quiz2 Idyll1 Theocritus adjective
βαρύς, -εῖα, -ύ	heavy, grievous, oppressive	Quiz2 Idyll1 Theocritus adjective
ἀργαλέος, -α, -ον	grievous, painful, cruel	Quiz2 Idyll1 Theocritus adjective
νεμεσητός, -ή, -όν (Doric νεμεσσατά)	resented, provoking indignation; resentful	Quiz2 Idyll1 Theocritus adjective
θνητός, -ή, -όν (Doric θνατός)	mortal	Quiz2 Idyll1 Theocritus adjective
ἀπεχθής, -ές	hateful, odious	Quiz2 Idyll1 Theocritus adjective
κακός, -ή, -όν	bad, evil; (subst.) harm, trouble	Quiz2 Idyll1 Theocritus adjective
πολύς, πολλή, πολύ	many, much	Quiz2 Idyll1 Theocritus adjective
