#separator:tab
#html:false
#notetype:Basic
#deck:GRK30 Greek Vocab::Quiz 2::Idyll 1.120–152
#columns:Front	Back	Tags
#tags column:3
βάτος, -ου, ἡ	bramble, thorn-bush	Quiz2 Idyll1 Theocritus noun
ἄκανθα, -ης, ἡ	thistle, thorn, prickly plant	Quiz2 Idyll1 Theocritus noun
νάρκισσος, -ου, ἡ	narcissus	Quiz2 Idyll1 Theocritus noun
ἄρκευθος, -ου, ἡ	juniper	Quiz2 Idyll1 Theocritus noun
πίτυς, -υος, ἡ	pine (tree)	Quiz2 Idyll1 Theocritus noun
ὄχνη, -ης, ἡ	pear, pear-tree	Quiz2 Idyll1 Theocritus noun
βουκολικός, -ή, -όν (Doric -ᾶς)	bucolic, pastoral, of herdsmen	Quiz2 Idyll1 Theocritus adjective
μακρός, -ά, -όν	long, tall, high	Quiz2 Idyll1 Theocritus adjective
μέγας, μεγάλη, μέγα	great, large	Quiz2 Idyll1 Theocritus adjective
αἰπύς, -εῖα, -ύ	steep, sheer, high	Quiz2 Idyll1 Theocritus adjective
μάκαρ, -αρος	blessed; (subst. pl.) the blessed ones, the gods	Quiz2 Idyll1 Theocritus adjective
καλός, -ή, -όν	beautiful, lovely, fair	Quiz2 Idyll1 Theocritus adjective
καλός, -ή, -όν (adv. καλόν)	beautifully, finely, sweetly	Quiz2 Idyll1 Theocritus adjective
πᾶς, πᾶσα, πᾶν	all, every, whole	Quiz2 Idyll1 Theocritus adjective
φίλος, -η, -ον	dear, beloved; (subst.) friend	Quiz2 Idyll1 Theocritus adjective
ἀπεχθής, -ές	hateful, odious	Quiz2 Idyll1 Theocritus adjective
πλήρης, -ες	full (of, + gen.)	Quiz2 Idyll1 Theocritus adjective
ἡδύς, -εῖα, -ύ (Doric ἁδύς)	sweet, pleasant	Quiz2 Idyll1 Theocritus adjective
ὕστερος, -α, -ον (adv. ὕστερον)	later, latter; (adv.) afterwards, hereafter	Quiz2 Idyll1 Theocritus adjective
φέρτερος, -α, -ον (compar.)	better, stronger, more excellent	Quiz2 Idyll1 Theocritus adjective
πηκτός, -ή, -όν (Doric πακτός)	fastened together, fixed, glued	Quiz2 Idyll1 Theocritus adjective
ἀγητός, -ή, -όν	admired, wondered at, to be marvelled at	Quiz2 Idyll1 Theocritus adjective
