#separator:tab
#html:false
#notetype:Basic
#deck:GRK30 Greek Vocab::Quiz 2::Idyll 1.1–63
#columns:Front	Back	Tags
#tags column:3
φυλάσσω	guard, watch over, keep watch	Quiz2 Idyll1 Theocritus verb
ἧμαι	sit, be seated	Quiz2 Idyll1 Theocritus verb
φοιτάω	go to and fro, range, roam, haunt	Quiz2 Idyll1 Theocritus verb
σίνομαι	harm, plunder, ravage, pillage	Quiz2 Idyll1 Theocritus verb
ἀνίημι (fut. ἀνήσω)	let go, leave alone, give up	Quiz2 Idyll1 Theocritus verb
καθίζω	set down, seat, sit	Quiz2 Idyll1 Theocritus verb
πλέκω	plait, weave, twine	Quiz2 Idyll1 Theocritus verb
ἐφαρμόζω (Doric ἐφαρμόσδω)	fit on, join together, fasten	Quiz2 Idyll1 Theocritus verb
μέλομαι (impers. μέλει)	be a care, be an object of concern	Quiz2 Idyll1 Theocritus verb
γηθέω (Doric γαθέω)	rejoice, delight, take joy	Quiz2 Idyll1 Theocritus verb
περιπετάννυμι (perf. mid./pass. περιπέπταμαι)	spread around, stretch round	Quiz2 Idyll1 Theocritus verb
ἀτύζω	amaze, astound, strike with awe	Quiz2 Idyll1 Theocritus verb
νομεύω	pasture, herd, graze	Quiz2 Idyll1 Theocritus verb
ψιθύρισμα, -ατος, τό	whispering, murmur, rustling	Quiz2 Idyll1 Theocritus noun
πίτυς, -υος, ἡ	pine (tree)	Quiz2 Idyll1 Theocritus noun
αἰπόλος, -ου, ὁ	goatherd	Quiz2 Idyll1 Theocritus noun
παγά, -ᾶς, ἡ (Doric = πηγή)	spring, fountain	Quiz2 Idyll1 Theocritus noun
ἆθλον, -ου, τό	prize	Quiz2 Idyll1 Theocritus noun
τράγος, -ου, ὁ	he-goat, billy-goat	Quiz2 Idyll1 Theocritus noun
αἴξ, αἰγός, ὁ/ἡ	goat	Quiz2 Idyll1 Theocritus noun
γέρας, -αος, τό	prize, privilege, gift of honour	Quiz2 Idyll1 Theocritus noun
χίμαρος, -ου, ὁ/ἡ	young goat, kid	Quiz2 Idyll1 Theocritus noun
κρέας, κρέως, τό	flesh, meat	Quiz2 Idyll1 Theocritus noun
ποιμήν, -ένος, ὁ	shepherd	Quiz2 Idyll1 Theocritus noun
μέλος, -εος, τό	song, tune, melody	Quiz2 Idyll1 Theocritus noun
πέτρα, -ας, ἡ	rock, crag	Quiz2 Idyll1 Theocritus noun
ὕδωρ, ὕδατος, τό	water	Quiz2 Idyll1 Theocritus noun
Μοῦσα, -ης, ἡ (Doric Μοῖσα)	Muse; song, poetic art	Quiz2 Idyll1 Theocritus noun
ὄϊς, ὄϊος, ἡ	sheep, ewe	Quiz2 Idyll1 Theocritus noun
ἀρήν, ἀρνός, ὁ/ἡ	lamb	Quiz2 Idyll1 Theocritus noun
νύμφη, -ης, ἡ	nymph	Quiz2 Idyll1 Theocritus noun
γεώλοφον, -ου, τό	hillock, ridge, rise of ground	Quiz2 Idyll1 Theocritus noun
ἄγρα, -ας, ἡ	hunt, hunting, the chase	Quiz2 Idyll1 Theocritus noun
χολή, -ῆς, ἡ (Doric χολά)	bile, gall; anger, wrath	Quiz2 Idyll1 Theocritus noun
ῥίς, ῥινός, ἡ	nose, nostril	Quiz2 Idyll1 Theocritus noun
ἄλγος, -εος, τό	pain, grief, sorrow	Quiz2 Idyll1 Theocritus noun
πτελέα, -ας, ἡ	elm (tree)	Quiz2 Idyll1 Theocritus noun
θῶκος, -ου, ὁ	seat, chair	Quiz2 Idyll1 Theocritus noun
δρῦς, δρυός, ἡ	oak (tree)	Quiz2 Idyll1 Theocritus noun
ἔριφος, -ου, ὁ	kid (young goat)	Quiz2 Idyll1 Theocritus noun
πέλλα, -ας, ἡ	milk-pail	Quiz2 Idyll1 Theocritus noun
κηρός, -οῦ, ὁ	(bees')wax	Quiz2 Idyll1 Theocritus noun
χεῖλος, -εος, τό	lip, rim, edge	Quiz2 Idyll1 Theocritus noun
κισσός, -οῦ, ὁ	ivy	Quiz2 Idyll1 Theocritus noun
καρπός, -οῦ, ὁ	fruit, produce	Quiz2 Idyll1 Theocritus noun
ἕλιξ, -ικος, ἡ	tendril, spiral, twining stem	Quiz2 Idyll1 Theocritus noun
γυνή, γυναικός, ἡ (Doric γυνά)	woman	Quiz2 Idyll1 Theocritus noun
δαίδαλμα, -ατος, τό	cunning work, work of art, intricate carving	Quiz2 Idyll1 Theocritus noun
θεός, -οῦ, ὁ	god	Quiz2 Idyll1 Theocritus noun
πέπλος, -ου, ὁ	robe, woven gown	Quiz2 Idyll1 Theocritus noun
ἀνήρ, ἀνδρός, ὁ	man	Quiz2 Idyll1 Theocritus noun
ἔπος, -εος, τό	word, speech	Quiz2 Idyll1 Theocritus noun
φρήν, φρενός, ἡ	heart, mind, seat of feeling	Quiz2 Idyll1 Theocritus noun
νόος, -ου, ὁ (= νοῦς)	mind, thought, attention	Quiz2 Idyll1 Theocritus noun
ἔρως, -ωτος, ὁ	love, desire, passion	Quiz2 Idyll1 Theocritus noun
γριπεύς, -έως, ὁ	fisherman	Quiz2 Idyll1 Theocritus noun
γέρων, -οντος, ὁ	old man	Quiz2 Idyll1 Theocritus noun
δίκτυον, -ου, τό	(fishing-)net	Quiz2 Idyll1 Theocritus noun
βόλος, -ου, ὁ	a cast (of the net), a throw	Quiz2 Idyll1 Theocritus noun
πρέσβυς, -εως, ὁ	old man	Quiz2 Idyll1 Theocritus noun
γυῖον, -ου, τό	limb	Quiz2 Idyll1 Theocritus noun
σθένος, -εος, τό	strength, might	Quiz2 Idyll1 Theocritus noun
αὐχήν, -ένος, ὁ	neck, throat	Quiz2 Idyll1 Theocritus noun
ἴς, ἰνός, ἡ	sinew, muscle, tendon	Quiz2 Idyll1 Theocritus noun
ἥβη, -ης, ἡ (Doric ἅβα)	youth, youthful vigour, prime of life	Quiz2 Idyll1 Theocritus noun
σταφυλή, -ῆς, ἡ	bunch of grapes, cluster	Quiz2 Idyll1 Theocritus noun
ἀλωή, -ῆς, ἡ (Doric ἀλωά)	vineyard, orchard-plot, threshing-floor	Quiz2 Idyll1 Theocritus noun
κοῦρος, -ου, ὁ (Doric κῶρος)	boy, lad, youth	Quiz2 Idyll1 Theocritus noun
αἱμασιά, -ᾶς, ἡ	dry-stone wall, thorn-hedge	Quiz2 Idyll1 Theocritus noun
ἀλώπηξ, -εκος, ἡ	fox	Quiz2 Idyll1 Theocritus noun
πήρα, -ας, ἡ	wallet, knapsack, provision-bag, scrip	Quiz2 Idyll1 Theocritus noun
δόλος, -ου, ὁ	trick, wile, cunning, ruse	Quiz2 Idyll1 Theocritus noun
παιδίον, -ου, τό	child, little boy	Quiz2 Idyll1 Theocritus noun
σχοῖνος, -ου, ὁ/ἡ	rush, reed	Quiz2 Idyll1 Theocritus noun
πλέγμα, -ατος, τό	plaited work, wickerwork	Quiz2 Idyll1 Theocritus noun
φυτόν, -οῦ, τό	plant, vine, growing thing	Quiz2 Idyll1 Theocritus noun
δέπας, -αος, τό	cup, goblet, drinking-bowl	Quiz2 Idyll1 Theocritus noun
θέαμα, -ατος, τό (Doric θάημα)	a sight, spectacle, marvel, wonder	Quiz2 Idyll1 Theocritus noun
τέρας, -ατος, τό	wonder, marvel, portent	Quiz2 Idyll1 Theocritus noun
θυμός, -οῦ, ὁ	heart, spirit, soul	Quiz2 Idyll1 Theocritus noun
ἡδύς, -εῖα, -ύ	sweet, pleasant	Quiz2 Idyll1 Theocritus adjective
δεύτερος, -α, -ον	second	Quiz2 Idyll1 Theocritus adjective
κεραός, -ά, -όν	horned	Quiz2 Idyll1 Theocritus adjective
καλός, -ή, -όν	beautiful, fair, good	Quiz2 Idyll1 Theocritus adjective
βαθύς, -εῖα, -ύ	deep	Quiz2 Idyll1 Theocritus adjective
πικρός, -ά, -όν	bitter, sharp, harsh	Quiz2 Idyll1 Theocritus adjective
δριμύς, -εῖα, -ύ	sharp, biting, pungent, keen	Quiz2 Idyll1 Theocritus adjective
βουκολικός, -ή, -όν (Doric -ᾶς)	bucolic, of the cowherd, pastoral	Quiz2 Idyll1 Theocritus adjective
πλείων, πλέον (comp. of πολύς)	more, greater; the greater part	Quiz2 Idyll1 Theocritus adjective
μέγας, μεγάλη, μέγα	great, large	Quiz2 Idyll1 Theocritus adjective
καρτερός, -ά, -όν (adv. τὸ καρτερόν)	strong, mighty; (adv.) mightily	Quiz2 Idyll1 Theocritus adjective
λεπρός, -ά, -όν (Doric λεπράς)	rough, scaly, rugged, jagged	Quiz2 Idyll1 Theocritus adjective
πολιός, -ά, -όν	grey, grey-haired, hoary	Quiz2 Idyll1 Theocritus adjective
ἄξιος, -α, -ον	worthy (of, + gen.)	Quiz2 Idyll1 Theocritus adjective
τυτθός, -ή, -όν (adv. τυτθόν)	little, small; (adv.) a little	Quiz2 Idyll1 Theocritus adjective
ὀλίγος, -η, -ον	small, little, few	Quiz2 Idyll1 Theocritus adjective
πᾶς, πᾶσα, πᾶν	all, every, whole	Quiz2 Idyll1 Theocritus adjective
ξηρός, -ά, -όν	dry	Quiz2 Idyll1 Theocritus adjective
ὑγρός, -ά, -όν	supple, pliant, lithe, moist	Quiz2 Idyll1 Theocritus adjective
ἐτώσιος, -ον	vain, fruitless, to no purpose	Quiz2 Idyll1 Theocritus adjective
θιγγάνω (aor. ἔθιγον)	touch, take hold of (+ gen.)	Quiz2 Idyll1 Theocritus verb
κεῖμαι	lie, be laid up, be set aside	Quiz2 Idyll1 Theocritus verb
κερτομέω	mock, taunt, jeer at, tease	Quiz2 Idyll1 Theocritus verb
προσάγω (Doric ποτάγω)	bring to; (intr.) come near, approach	Quiz2 Idyll1 Theocritus verb
ἐκλανθάνω (redupl. aor. ἐκλέλαθον, causative)	make utterly forget, cause to forget	Quiz2 Idyll1 Theocritus verb
πορθμεύς, -έως, ὁ	ferryman, boatman	Quiz2 Idyll1 Theocritus noun
ὦνος, -ου, ὁ	price, purchase-price, payment	Quiz2 Idyll1 Theocritus noun
γάλα, γάλακτος, τό	milk	Quiz2 Idyll1 Theocritus noun
ὕμνος, -ου, ὁ	song, hymn, lay	Quiz2 Idyll1 Theocritus noun
ἀοιδή, -ῆς, ἡ (Doric ἀοιδά)	song, singing, lay	Quiz2 Idyll1 Theocritus noun
Ἅιδης, -ου, ὁ (Doric Ἀΐδας)	Hades, the underworld	Quiz2 Idyll1 Theocritus noun
λευκός, -ή, -όν	white, bright	Quiz2 Idyll1 Theocritus adjective
τυρόεις, -εσσα, -εν	of cheese, cheesy; (subst.) a cheese	Quiz2 Idyll1 Theocritus adjective
ἄχραντος, -ον	undefiled, unstained, unused	Quiz2 Idyll1 Theocritus adjective
πρόφρων, -ον	eager, willing, gracious, with a ready heart	Quiz2 Idyll1 Theocritus adjective
ἐφίμερος, -ον	longed-for, lovely, charming, desirable	Quiz2 Idyll1 Theocritus adjective
φίλος, -η, -ον	dear, beloved; (subst.) friend	Quiz2 Idyll1 Theocritus adjective
