#separator:tab
#html:false
#notetype:Basic
#deck:GRK30 Greek Vocab::Quiz 1::Odyssey 5.55–94
#columns:Front	Back	Tags
#tags column:3
ὄρνις, ὄρνιθος, ὁ/ἡ	bird	Quiz1 Odyssey5 Homer noun
ἔργον, -ου, τό	work, deed, task	Quiz1 Odyssey5 Homer noun
κρήνη, -ης, ἡ	spring, fountain	Quiz1 Odyssey5 Homer noun
ὕδωρ, ὕδατος, τό	water	Quiz1 Odyssey5 Homer noun
λειμών, -ῶνος, ὁ	meadow	Quiz1 Odyssey5 Homer noun
φρήν, φρενός, ἡ	heart, mind, wits	Quiz1 Odyssey5 Homer noun
θυμός, -οῦ, ὁ	spirit, heart; anger	Quiz1 Odyssey5 Homer noun
θεά, -ᾶς, ἡ	goddess	Quiz1 Odyssey5 Homer noun
θεός, -οῦ, ὁ	god	Quiz1 Odyssey5 Homer noun
δῶμα, -ατος, τό	house, hall, dwelling	Quiz1 Odyssey5 Homer noun
ἀκτή, -ῆς, ἡ	shore, headland, beach	Quiz1 Odyssey5 Homer noun
δάκρυ, -υος, τό	tear	Quiz1 Odyssey5 Homer noun
θρόνος, -ου, ὁ	chair, seat, throne	Quiz1 Odyssey5 Homer noun
τράπεζα, -ης, ἡ	table	Quiz1 Odyssey5 Homer noun
νέκταρ, -αρος, τό	nectar	Quiz1 Odyssey5 Homer noun
ἄλγος, -εος, τό	pain, grief, distress	Quiz1 Odyssey5 Homer noun
ὄψ, ὀπός, ἡ	voice	Quiz1 Odyssey5 Homer noun
ὀδμή, -ῆς, ἡ	smell, scent	Quiz1 Odyssey5 Homer noun
ξείνιον, -ου, τό (epic = ξένιον)	guest-gift, hospitality	Quiz1 Odyssey5 Homer noun
ἀμβροσίη, -ης, ἡ (epic = ἀμβροσία)	ambrosia	Quiz1 Odyssey5 Homer noun
μέγας, μεγάλη, μέγα	great, large	Quiz1 Odyssey5 Homer adjective
καλός, -ή, -όν	beautiful, fair, good	Quiz1 Odyssey5 Homer adjective
χρύσεος, -η, -ον	golden	Quiz1 Odyssey5 Homer adjective
εὐρύς, -εῖα, -ύ	wide, broad	Quiz1 Odyssey5 Homer adjective
δῖος, -α, -ον	divine, bright, noble	Quiz1 Odyssey5 Homer adjective
ἀθάνατος, -ον	immortal, deathless	Quiz1 Odyssey5 Homer adjective
πλησίος, -η, -ον	near, close	Quiz1 Odyssey5 Homer adjective
μαλακός, -ή, -όν	soft, gentle	Quiz1 Odyssey5 Homer adjective
λευκός, -ή, -όν	white, bright, clear	Quiz1 Odyssey5 Homer adjective
ἐρυθρός, -ή, -όν	red	Quiz1 Odyssey5 Homer adjective
φαεινός, -ή, -όν	shining, bright	Quiz1 Odyssey5 Homer adjective
αἰδοῖος, -η, -ον	honoured, revered	Quiz1 Odyssey5 Homer adjective
φίλος, -η, -ον	dear, beloved; one's own	Quiz1 Odyssey5 Homer adjective
πᾶς, πᾶσα, πᾶν	all, every, whole	Quiz1 Odyssey5 Homer adjective
γλαφυρός, -ή, -όν	hollow, hollowed-out	Quiz1 Odyssey5 Homer adjective
