#separator:tab
#html:false
#notetype:Basic
#deck:GRK30 Greek Vocab::Quiz 3::Idyll 11.19–81
#columns:Front	Back	Tags
#tags column:3
καταδύω (intr. aor. κατέδυν)	go down, sink, dive down	Quiz3 Idyll11 Theocritus verb
λῶ (Doric, = ἐθέλω)	wish, be willing, want	Quiz3 Idyll11 Theocritus verb
φέρω	carry, bring, bear	Quiz3 Idyll11 Theocritus verb
μανθάνω (Doric fut. μαθεῦμαι)	learn, come to know	Quiz3 Idyll11 Theocritus verb
νέω (contr. νεῖν)	swim	Quiz3 Idyll11 Theocritus verb
πλέω	sail, go by sea	Quiz3 Idyll11 Theocritus verb
οἶδα (subj. εἰδῶ)	know	Quiz3 Idyll11 Theocritus verb
κατοικέω	dwell in, inhabit, settle in	Quiz3 Idyll11 Theocritus verb
ἐξέρχομαι (Doric aor. ἐξένθον = ἐξῆλθον)	come out, go out	Quiz3 Idyll11 Theocritus verb
λανθάνω (mid. λανθάνομαι, aor. ἐλαθόμην)	escape notice; (mid.) forget	Quiz3 Idyll11 Theocritus verb
κάθημαι	sit, be seated	Quiz3 Idyll11 Theocritus verb
ἀπέρχομαι (Doric aor. inf. ἀπενθεῖν = ἀπελθεῖν)	go away, go back, depart	Quiz3 Idyll11 Theocritus verb
ποιμαίνω	tend a flock, shepherd, pasture	Quiz3 Idyll11 Theocritus verb
πήγνυμι (aor. ἔπηξα, Doric πᾶξαι)	fix, make firm, curdle, set	Quiz3 Idyll11 Theocritus verb
ἐνίημι	put in, send in, insert	Quiz3 Idyll11 Theocritus verb
ἀδικέω	wrong, do wrong to, injure	Quiz3 Idyll11 Theocritus verb
μέμφομαι	blame, find fault with, reproach (+ dat.)	Quiz3 Idyll11 Theocritus verb
ὁράω (Doric part. ὁρεῦσα)	see, look at	Quiz3 Idyll11 Theocritus verb
λεπτύνω	make thin; (intr.) grow thin, waste away	Quiz3 Idyll11 Theocritus verb
φημί (Doric fut. φασῶ)	say, declare, assert	Quiz3 Idyll11 Theocritus verb
σφύζω (Doric σφύσδω)	throb, beat, pulse	Quiz3 Idyll11 Theocritus verb
ἀνιάω	grieve, distress; (pass.) be distressed, be vexed	Quiz3 Idyll11 Theocritus verb
ἐκποτάομαι	fly away, flutter off	Quiz3 Idyll11 Theocritus verb
πλέκω	plait, weave, twine	Quiz3 Idyll11 Theocritus verb
ἀμάω	reap, mow, cut	Quiz3 Idyll11 Theocritus verb
διώκω	pursue, chase, hunt	Quiz3 Idyll11 Theocritus verb
εὑρίσκω (Doric fut. εὑρησεῖς)	find, discover	Quiz3 Idyll11 Theocritus verb
συμπαίζω (Doric συμπαίσδω)	play with, sport with, join in play	Quiz3 Idyll11 Theocritus verb
κέλομαι	urge, bid, invite, call on	Quiz3 Idyll11 Theocritus verb
κιχλίζω	giggle, titter, laugh	Quiz3 Idyll11 Theocritus verb
ὑπακούω	listen to, answer, heed, obey (+ dat.)	Quiz3 Idyll11 Theocritus verb
φαίνω (mid./pass. φαίνομαι)	show; (mid./pass.) appear, seem, show oneself	Quiz3 Idyll11 Theocritus verb
μουσίζω (Doric μουσίσδω)	make music, sing, practise the Muses' art	Quiz3 Idyll11 Theocritus verb
δίδωμι (aor. ἔδωκα)	give, pay	Quiz3 Idyll11 Theocritus verb
πάρειμι (Doric part. παρεοῖσα)	be present, be at hand	Quiz3 Idyll11 Theocritus verb
πακτά, -ᾶς, ἡ (Doric)	curdled milk, curd	Quiz3 Idyll11 Theocritus noun
ἀρήν, ἀρνός, ὁ/ἡ	lamb	Quiz3 Idyll11 Theocritus noun
μόσχος, -ου, ὁ	calf, young bull	Quiz3 Idyll11 Theocritus noun
ὄμφαξ, -ακος, ἡ	unripe grape	Quiz3 Idyll11 Theocritus noun
ὕπνος, -ου, ὁ	sleep	Quiz3 Idyll11 Theocritus noun
ὄϊς, ὄϊος, ἡ	sheep, ewe	Quiz3 Idyll11 Theocritus noun
λύκος, -ου, ὁ	wolf	Quiz3 Idyll11 Theocritus noun
κόρη, -ης, ἡ (Doric κόρα)	girl, maiden	Quiz3 Idyll11 Theocritus noun
κόριον, -ου, τό (dimin. of κόρη)	little girl, dear girl	Quiz3 Idyll11 Theocritus noun
μήτηρ, μητρός, ἡ (Doric μάτηρ)	mother	Quiz3 Idyll11 Theocritus noun
φύλλον, -ου, τό	leaf; (pl.) foliage, flowers	Quiz3 Idyll11 Theocritus noun
ὁδός, -οῦ, ἡ	way, road, journey	Quiz3 Idyll11 Theocritus noun
ὀφρύς, -ύος, ἡ	eyebrow, brow	Quiz3 Idyll11 Theocritus noun
μέτωπον, -ου, τό	forehead, brow	Quiz3 Idyll11 Theocritus noun
οὖς, ὠτός, τό	ear	Quiz3 Idyll11 Theocritus noun
ὀφθαλμός, -οῦ, ὁ	eye	Quiz3 Idyll11 Theocritus noun
ῥίς, ῥινός, ἡ	nose, nostril	Quiz3 Idyll11 Theocritus noun
χεῖλος, -εος, τό	lip, rim, edge	Quiz3 Idyll11 Theocritus noun
βοτόν, -οῦ, τό	grazing beast, head of cattle	Quiz3 Idyll11 Theocritus noun
γάλα, γάλακτος, τό	milk	Quiz3 Idyll11 Theocritus noun
τυρός, -οῦ, ὁ	cheese	Quiz3 Idyll11 Theocritus noun
θέρος, -εος, τό	summer, harvest-time	Quiz3 Idyll11 Theocritus noun
ὀπώρα, -ας, ἡ	late summer, fruit-time	Quiz3 Idyll11 Theocritus noun
χειμών, -ῶνος, ὁ	winter, storm	Quiz3 Idyll11 Theocritus noun
ταρσός, -οῦ, ὁ	crate, wicker frame; cheese-rack	Quiz3 Idyll11 Theocritus noun
γλυκύμαλον, -ου, τό	sweet-apple	Quiz3 Idyll11 Theocritus noun
νύξ, νυκτός, ἡ	night	Quiz3 Idyll11 Theocritus noun
νεβρός, -οῦ, ὁ/ἡ	fawn, young deer	Quiz3 Idyll11 Theocritus noun
σκύμνος, -ου, ὁ	cub, whelp	Quiz3 Idyll11 Theocritus noun
ἄρκτος, -ου, ἡ	bear	Quiz3 Idyll11 Theocritus noun
θάλασσα, -ης, ἡ	sea	Quiz3 Idyll11 Theocritus noun
χέρσος, -ου, ἡ	dry land, shore	Quiz3 Idyll11 Theocritus noun
δάφνη, -ης, ἡ	laurel, bay tree	Quiz3 Idyll11 Theocritus noun
κυπάρισσος, -ου, ἡ	cypress	Quiz3 Idyll11 Theocritus noun
κισσός, -οῦ, ὁ	ivy	Quiz3 Idyll11 Theocritus noun
ἄμπελος, -ου, ἡ	vine, grape-vine	Quiz3 Idyll11 Theocritus noun
ὕδωρ, ὕδατος, τό	water	Quiz3 Idyll11 Theocritus noun
χιών, -όνος, ἡ	snow	Quiz3 Idyll11 Theocritus noun
ποτόν, -οῦ, τό	drink, draught	Quiz3 Idyll11 Theocritus noun
κῦμα, -ατος, τό	wave, billow	Quiz3 Idyll11 Theocritus noun
δρῦς, δρυός, ἡ	oak (tree)	Quiz3 Idyll11 Theocritus noun
ξύλον, -ου, τό	wood, log, timber	Quiz3 Idyll11 Theocritus noun
σποδός, -οῦ, ἡ	ashes, embers	Quiz3 Idyll11 Theocritus noun
πῦρ, πυρός, τό	fire	Quiz3 Idyll11 Theocritus noun
ψυχή, -ῆς, ἡ (Doric ψυχά)	soul, life, breath of life	Quiz3 Idyll11 Theocritus noun
βράγχια, -ων, τά	gills (of a fish)	Quiz3 Idyll11 Theocritus noun
χείρ, χειρός, ἡ (poetic χέρα)	hand	Quiz3 Idyll11 Theocritus noun
στόμα, -ατος, τό	mouth	Quiz3 Idyll11 Theocritus noun
κρίνον, -ου, τό	lily	Quiz3 Idyll11 Theocritus noun
μήκων, -ωνος, ἡ (Doric μάκων)	poppy	Quiz3 Idyll11 Theocritus noun
ναῦς, νεώς, ἡ (epic/Doric νᾶυς, dat. ναΐ)	ship	Quiz3 Idyll11 Theocritus noun
ξένος, -ου, ὁ	stranger, foreigner, guest	Quiz3 Idyll11 Theocritus noun
βυθός, -οῦ, ὁ	the deep, the depths of the sea	Quiz3 Idyll11 Theocritus noun
τάμισος, -ου, ἡ	rennet (curdling agent)	Quiz3 Idyll11 Theocritus noun
ἦμαρ, -ατος, τό (Doric ἆμαρ)	day	Quiz3 Idyll11 Theocritus noun
κεφαλή, -ῆς, ἡ (Doric κεφαλά)	head	Quiz3 Idyll11 Theocritus noun
πούς, ποδός, ὁ	foot	Quiz3 Idyll11 Theocritus noun
φρήν, φρενός, ἡ	midriff, heart, mind, wits	Quiz3 Idyll11 Theocritus noun
τάλαρος, -ου, ὁ	basket, cheese-basket, crate	Quiz3 Idyll11 Theocritus noun
θαλλός, -οῦ, ὁ	young shoot, green branch, foliage	Quiz3 Idyll11 Theocritus noun
νόος, -ου, ὁ (= νοῦς, Doric νῶν)	mind, sense, understanding	Quiz3 Idyll11 Theocritus noun
γῆ, γῆς, ἡ (Doric γᾶ)	earth, land, ground	Quiz3 Idyll11 Theocritus noun
ἔρως, -ωτος, ὁ	love, desire, passion	Quiz3 Idyll11 Theocritus noun
χρυσός, -οῦ, ὁ	gold	Quiz3 Idyll11 Theocritus noun
λευκός, -ή, -όν	white, bright, fair-skinned	Quiz3 Idyll11 Theocritus adjective
ἁπαλός, -ή, -όν	soft, tender, delicate	Quiz3 Idyll11 Theocritus adjective
γαῦρος, -α, -ον (compar. γαυρότερος)	frisky, skittish, proud	Quiz3 Idyll11 Theocritus adjective
φιαρός, -ά, -όν (compar. φιαρώτερος)	sleek, glossy, plump	Quiz3 Idyll11 Theocritus adjective
ὠμός, -ή, -όν (Doric ὠμά)	raw, unripe, savage	Quiz3 Idyll11 Theocritus adjective
γλυκύς, -εῖα, -ύ	sweet	Quiz3 Idyll11 Theocritus adjective
πολιός, -ά, -όν	grey, grizzled, hoary	Quiz3 Idyll11 Theocritus adjective
ἐμός, -ή, -όν (Doric ἐμά)	my, mine	Quiz3 Idyll11 Theocritus adjective
ὑακίνθινος, -η, -ον	of hyacinth	Quiz3 Idyll11 Theocritus adjective
χαρίεις, -εσσα, -εν	graceful, charming, lovely	Quiz3 Idyll11 Theocritus adjective
λάσιος, -α, -ον	shaggy, hairy, thick with hair	Quiz3 Idyll11 Theocritus adjective
μακρός, -ά, -όν	long	Quiz3 Idyll11 Theocritus adjective
πλατύς, -εῖα, -ύ	broad, flat, wide	Quiz3 Idyll11 Theocritus adjective
χίλιοι, -αι, -α	a thousand	Quiz3 Idyll11 Theocritus adjective
κρείττων, -ον (superl. κράτιστος)	stronger, better; (superl.) best, finest	Quiz3 Idyll11 Theocritus adjective
ἄκρος, -α, -ον	topmost, outermost, at the tip	Quiz3 Idyll11 Theocritus adjective
ὑπεραχθής, -ές	overloaded, weighed down	Quiz3 Idyll11 Theocritus adjective
μαννοφόρος, -ον	wearing a collar, collar-bearing	Quiz3 Idyll11 Theocritus adjective
ἐλάσσων, -ον (compar. of ἐλαχύς/μικρός)	less, smaller, worse	Quiz3 Idyll11 Theocritus adjective
γλαυκός, -ή, -όν	grey-green, gleaming, blue-grey	Quiz3 Idyll11 Theocritus adjective
ῥαδινός, -ή, -όν	slender, taper, waving	Quiz3 Idyll11 Theocritus adjective
μέλας, μέλαινα, μέλαν	black, dark	Quiz3 Idyll11 Theocritus adjective
γλυκύκαρπος, -ον	with sweet fruit, sweet-fruited	Quiz3 Idyll11 Theocritus adjective
ψυχρός, -ά, -όν	cold, chill	Quiz3 Idyll11 Theocritus adjective
πολυδένδρεος, -ον	many-treed, thick with trees	Quiz3 Idyll11 Theocritus adjective
ἀμβρόσιος, -α, -ον	immortal, divine, ambrosial	Quiz3 Idyll11 Theocritus adjective
ἀκάματος, -ον	untiring, unwearied, unquenchable	Quiz3 Idyll11 Theocritus adjective
γλυκερός, -ά, -όν (compar. γλυκερώτερος)	sweet, delightful	Quiz3 Idyll11 Theocritus adjective
ἐρυθρός, -ά, -όν	red	Quiz3 Idyll11 Theocritus adjective
δριμύς, -εῖα, -ύ	sharp, pungent, biting	Quiz3 Idyll11 Theocritus adjective
μόνος, -η, -ον (Doric μόνα)	alone, only	Quiz3 Idyll11 Theocritus adjective
ἀμφότερος, -α, -ον	both	Quiz3 Idyll11 Theocritus adjective
δῆλος, -η, -ον	clear, evident, plain	Quiz3 Idyll11 Theocritus adjective
καλός, -ή, -όν (compar. καλλίων)	beautiful, fair; (compar.) fairer	Quiz3 Idyll11 Theocritus adjective
ἄλλος, -η, -ο	other, another	Quiz3 Idyll11 Theocritus adjective
εἷς, μία, ἕν	one, a single	Quiz3 Idyll11 Theocritus numeral
τέσσαρες, -α	four	Quiz3 Idyll11 Theocritus numeral
ἕνδεκα	eleven	Quiz3 Idyll11 Theocritus numeral
